=================================
     Train and test QA model     
=================================
Start training...
step 1 | Training...
step 2 | Training...
step 3 | Training...
step 4 | Training...
step 5 | Training...
step 6 | Training...
step 7 | Training...
step 8 | Training...
step 9 | Training...
step 10 | Training...
step 11 | Training...
step 12 | Training...
step 13 | Training...
step 14 | Training...
step 15 | Training...
step 16 | Training...
step 17 | Training...
step 18 | Training...
step 19 | Training...
step 20 | Training...
step 21 | Training...
step 22 | Training...
step 23 | Training...
step 24 | Training...
step 25 | Training...
step 26 | Training...
step 27 | Training...
step 28 | Training...
step 29 | Training...
step 30 | Training...
step 31 | Training...
step 32 | Training...
step 33 | Training...
step 34 | Training...
step 35 | Training...
step 36 | Training...
step 37 | Training...
step 38 | Training...
step 39 | Training...
step 40 | Training...
step 41 | Training...
step 42 | Training...
step 43 | Training...
step 44 | Training...
step 45 | Training...
step 46 | Training...
step 47 | Training...
step 48 | Training...
step 49 | Training...
step 50 | Training...
step 51 | Training...
step 52 | Training...
step 53 | Training...
step 54 | Training...
step 55 | Training...
step 56 | Training...
step 57 | Training...
step 58 | Training...
step 59 | Training...
step 60 | Training...
step 61 | Training...
step 62 | Training...
step 63 | Training...
step 64 | Training...
step 65 | Training...
step 66 | Training...
step 67 | Training...
step 68 | Training...
step 69 | Training...
step 70 | Training...
step 71 | Training...
step 72 | Training...
step 73 | Training...
step 74 | Training...
step 75 | Training...
step 76 | Training...
step 77 | Training...
step 78 | Training...
step 79 | Training...
step 80 | Training...
step 81 | Training...
step 82 | Training...
step 83 | Training...
step 84 | Training...
step 85 | Training...
step 86 | Training...
step 87 | Training...
step 88 | Training...
step 89 | Training...
step 90 | Training...
step 91 | Training...
step 92 | Training...
step 93 | Training...
step 94 | Training...
step 95 | Training...
step 96 | Training...
step 97 | Training...
step 98 | Training...
step 99 | Training...
step 100 | Training...
step 101 | Training...
step 102 | Training...
step 103 | Training...
step 104 | Training...
step 105 | Training...
step 106 | Training...
step 107 | Training...
step 108 | Training...
step 109 | Training...
step 110 | Training...
step 111 | Training...
step 112 | Training...
step 113 | Training...
step 114 | Training...
step 115 | Training...
step 116 | Training...
step 117 | Training...
step 118 | Training...
step 119 | Training...
step 120 | Training...
step 121 | Training...
step 122 | Training...
step 123 | Training...
step 124 | Training...
step 125 | Training...
step 126 | Training...
step 127 | Training...
step 128 | Training...
step 129 | Training...
step 130 | Training...
step 131 | Training...
step 132 | Training...
